food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Calcium
chickpeas cooked,269,4.2,0.4,1.0,1.9,45.0,7.9,14.5,12.5,0.0,0.08,80.4
cranberry beans raw,653,2.4,0.6,0.2,1.0,117.1,0.0,44.9,48.2,0.0,0.014,247.7
mungo beans cooked,189,1.0,0.065,0.001,0.6,33.0,3.6,13.6,11.5,0.0,0.083,95.4
tamarinds,5,0.013,0.023,0.038,0.036,1.3,0.8,0.057,0.1,0.0,0.007,0.03
yellow snap beans cooked,44,0.4,0.037,0.065,0.2,9.9,4.5,2.4,4.1,0.0,0.096,0.025
yardlong beans cooked,202,0.8,0.2,0.027,0.3,36.1,0.0,14.2,6.5,0.0,0.059,0.0
bacon beef steak,146,12.5,4.5,6.2,1.2,0.2,0.2,8.2,0.0,28.9,0.4,4.0
lamb foreshank raw,912,60.7,26.4,24.9,4.8,0.0,0.0,85.8,0.0,326.6,0.3,49.9
bacon,106,10.2,0.0,0.0,0.0,0.2,0.2,3.3,0.0,0.0,0.1,1.0
lamb rib cooked,915,76.0,32.6,31.9,5.5,0.0,0.0,53.9,0.0,247.4,0.2,56.1
lamb shank raw,912,61.2,26.3,25.1,4.9,0.0,0.0,84.3,0.0,303.9,0.3,36.3
scrapple,60,3.9,1.3,1.7,0.5,4.0,0.063,2.3,0.052,13.9,0.1,2.0
chicken nuggets,61,4.1,0.7,1.5,1.3,3.0,0.039,3.2,0.2,8.6,0.1,0.058
ground lamb cooked,886,61.5,25.4,26.0,4.4,0.0,0.0,77.5,0.0,303.6,0.3,68.9
lamb meat cooked,678,45.0,18.6,19.1,3.2,0.0,0.0,63.8,0.0,240.0,0.2,40.0
meat extender,275,2.6,0.4,0.6,1.5,33.7,0.0,33.5,15.4,0.0,0.041,179.5
lamb leg raw,1043,77.4,33.7,31.8,6.1,0.0,0.0,81.2,0.0,313.0,0.3,40.8
lamb loin cooked,202,14.8,6.3,6.2,1.1,0.0,0.0,16.1,0.0,64.0,0.089,12.8
chicken patty,172,11.7,2.2,5.0,2.9,7.7,0.0,8.9,0.2,25.8,0.3,11.4
lamb shank roasted,605,33.5,13.7,14.2,2.4,0.0,0.0,71.0,0.0,242.1,0.2,26.9
barbecue loaf,40,2.0,0.7,1.0,0.2,1.5,0.0,3.6,0.0,8.5,0.3,12.7
lamb sirloin cooked,765,54.2,22.9,22.8,3.9,0.0,0.0,64.5,0.0,254.1,0.2,28.8
poultry salad,26,1.8,0.4,0.4,0.8,1.0,0.0,1.5,0.0,3.9,0.079,1.3
ground lamb raw,80,6.6,2.9,2.7,0.5,0.0,0.0,4.7,0.0,20.7,0.05,4.5
lamb loin raw,88,7.5,3.3,3.1,0.6,0.0,0.0,4.6,0.0,20.9,0.003,4.2
lamb sirloin raw,1234,100.3,44.1,41.2,7.8,0.0,0.0,76.8,0.0,326.6,0.3,45.4
sausage patty mcdonalds,115,11.2,3.6,4.7,1.4,0.4,0.1,4.3,0.0,20.9,0.2,6.5
lamb foreshank cooked,360,19.9,8.3,8.4,1.4,0.0,0.0,42.0,0.0,156.9,0.1,29.6
ham salad,97,7.0,2.3,3.2,1.2,4.8,0.0,3.9,0.0,16.7,0.5,3.6
lamb rib raw,1687,156.0,68.8,64.1,12.2,0.0,0.0,65.9,0.0,344.7,0.3,68.0
lamb shoulder raw,1198,97.3,42.1,39.9,7.8,0.0,0.0,75.2,0.0,326.6,0.3,72.6
lamb meat raw,1102,84.6,36.6,34.7,6.7,0.0,0.0,79.6,0.0,317.5,0.3,54.4
lamb shoulder cooked,750,53.5,22.5,21.9,4.4,0.0,0.0,62.5,0.0,252.9,0.2,54.5
mutton cooked,66,3.1,1.5,1.3,0.2,0.027,0.0,9.5,0.0,30.8,0.07,2.8
lamb leg cooked,684,43.7,18.3,18.4,3.1,0.0,0.0,67.7,0.0,246.5,0.2,29.2
beef stick,110,9.9,4.2,4.1,0.9,1.1,0.0,4.3,0.0,26.6,0.3,13.6
veal sirloin cooked,517,26.9,10.6,10.6,1.8,0.0,0.0,64.1,0.0,221.4,0.2,34.9
veal rib cooked,444,22.2,8.8,8.2,1.7,0.0,0.0,57.4,0.0,246.0,0.2,38.9
veal meat cooked,483,23.8,8.9,9.2,1.7,0.0,0.0,62.9,0.0,238.3,0.2,46.0
beef rib roasted,238,19.1,7.7,8.2,0.7,0.0,0.0,15.4,0.0,57.0,0.01,6.7
veal sirloin raw,689,35.4,15.2,13.8,2.3,0.0,0.0,86.5,0.0,353.8,0.3,49.9
beef top loin filet grilled,323,19.0,6.5,8.6,0.6,0.8,0.0,37.0,0.0,116.1,0.1,0.019
beef under blade steak cooked,983,46.7,17.9,22.6,2.3,0.0,0.0,140.8,0.0,480.4,0.3,0.044
mock tender steak raw,244,8.3,3.6,4.3,0.7,0.0,0.0,42.2,0.0,132.7,0.2,21.8
ground beef cooked,375,24.8,10.0,12.0,0.7,0.0,0.0,35.5,0.0,122.3,0.1,0.052
ground beef raw,1506,136.1,51.2,59.7,3.2,0.0,0.0,65.1,0.0,353.8,0.3,108.9
beef diced asda,48,0.7,0.3,0.0,0.0,10.5,0.054,0.0,0.0,0.0,0.0,0.0
veal rib raw,735,40.9,16.8,15.6,2.9,0.0,0.0,85.5,0.0,372.0,0.4,59.0
ground veal raw,41,1.9,0.8,0.7,0.1,0.0,0.0,5.5,0.0,23.2,0.029,4.2
t bone steak cooked,1049,74.1,30.3,33.3,3.3,0.0,0.0,89.3,0.0,301.3,0.2,0.0
veal leg round raw,531,14.0,5.4,5.1,1.1,0.0,0.0,95.2,0.0,353.8,0.3,22.7
beef top sirloin steak raw,1222,77.3,31.2,33.1,2.9,0.0,0.0,123.4,0.0,456.0,0.3,145.9
beef plate steak grilled,508,35.6,12.9,14.3,2.0,0.0,0.0,47.1,0.0,177.5,0.1,0.047
ground veal cooked,514,22.6,9.1,8.5,1.6,0.0,0.0,72.9,0.0,308.0,0.2,50.8
veal leg round cooked,574,17.2,6.9,6.4,1.3,0.0,0.0,98.4,0.0,364.5,0.2,21.8
porterhouse steak raw,1170,91.1,36.4,40.6,3.4,0.0,0.0,81.6,0.0,308.4,0.2,27.2
veal shank raw,513,15.8,4.8,5.7,1.6,0.0,0.0,86.9,0.0,340.2,0.4,90.7
veal breast cooked,753,47.5,18.5,22.7,3.2,0.0,0.0,76.3,0.0,319.8,0.2,25.5
corned beef canned,53,3.1,1.3,1.3,0.1,0.0,0.0,5.7,0.0,18.1,0.2,2.5
rib eye steak grilled,680,47.7,21.2,23.0,2.2,0.0,0.0,62.4,0.0,195.8,0.1,30.1
veal shoulder raw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t bone steak raw,1052,76.3,30.4,33.9,2.8,0.0,0.0,85.7,0.0,281.2,0.2,27.2
sirloin steak,324,14.1,5.2,6.1,1.1,0.0,0.0,49.5,0.0,144.4,0.6,0.0
mock tender steak cooked,137,4.9,1.5,2.3,0.3,0.0,0.0,21.9,0.0,55.3,0.028,6.8
beef round steak cooked,385,12.1,4.3,5.1,0.5,0.0,0.0,64.8,0.0,174.3,0.011,14.4
chuck blade roast raw,1125,88.0,35.5,38.6,3.2,0.0,0.0,77.8,0.0,322.1,0.3,45.4
beef shoulder steak raw,349,17.3,7.5,9.0,1.8,0.0,0.0,48.2,0.0,164.9,0.2,28.7
beef top blade cooked,184,10.0,3.3,4.6,0.4,0.0,0.0,21.9,0.0,51.9,0.002,6.0
corned beef cooked,53,4.0,1.3,1.9,0.1,0.006,0.0,3.8,0.0,20.6,0.2,1.7
beef round steak raw,753,36.0,14.2,15.5,1.4,0.0,0.0,100.1,0.0,313.0,0.3,95.3
beef shoulder steak grilled,155,5.8,2.5,3.0,0.6,0.0,0.0,24.0,0.0,68.9,0.014,10.2
chuck eye steak raw,856,62.8,26.7,29.7,4.5,0.0,0.0,72.4,0.0,261.1,0.3,53.8
beef bottom round steak cooked,980,35.1,12.1,14.7,1.5,0.0,0.0,155.8,0.0,426.4,0.2,31.8
porterhouse steak cooked,235,16.4,6.2,7.4,0.6,0.0,0.0,20.4,0.0,57.0,0.085,6.0
beef under blade steak raw,1235,80.8,32.6,37.4,5.9,0.0,0.0,126.8,0.0,431.0,0.3,62.9
beef plate steak raw,617,46.8,19.0,20.6,2.3,0.9,0.0,47.8,0.0,188.9,0.2,16.0
beef meat canned,111,7.9,3.9,3.6,0.4,0.0,0.0,9.2,0.0,34.7,0.095,4.5
beef breakfast strips raw,92,8.8,3.6,4.2,0.5,0.2,0.0,2.8,0.0,18.5,0.2,0.9
beef brisket cooked,589,43.6,16.8,19.4,1.5,0.0,0.0,46.0,0.0,165.5,0.1,12.5
corned beef raw,898,67.6,21.5,32.6,2.4,0.6,0.0,66.6,0.0,244.9,5.5,31.8
beef mince meat asda,55,3.1,1.3,0.0,0.0,6.8,0.054,0.0,0.0,0.0,0.0,0.0
pastrami beef fat free,9,0.1,0.0,0.036,0.099,0.1,0.0,1.9,0.0,4.5,0.005,0.9
rib eye steak raw,743,54.5,24.0,25.7,2.6,0.4,0.0,62.8,0.0,221.7,0.2,26.1
beef tenderloin steak cooked,374,24.0,9.4,10.0,0.9,0.0,0.0,37.0,0.0,135.8,0.061,26.6
chuck blade roast cooked,842,62.0,24.7,26.8,2.2,0.0,0.0,66.1,0.0,256.9,0.2,32.1
cured beef dried,4,0.019,0.086,0.088,0.007,0.06,0.006,0.9,0.0,2.2,0.049,0.2
beef flank steak cooked,380,17.5,7.2,7.1,0.7,0.0,0.0,51.8,0.0,152.3,0.068,33.8
chuck eye steak grilled,853,60.5,26.7,29.1,4.4,0.0,0.0,76.9,0.0,268.0,0.2,0.02
veal meat raw,653,30.7,12.7,11.7,2.2,0.0,0.0,87.8,0.0,372.0,0.4,68.0
veal loin cooked,80,4.9,1.9,1.9,0.3,0.0,0.0,8.5,0.0,33.4,0.001,7.9
veal loin raw,46,2.6,1.1,1.0,0.2,0.0,0.0,5.3,0.0,22.4,0.079,4.5
veal shoulder cooked,435,19.4,7.2,7.4,1.4,0.0,0.0,61.2,0.0,240.7,0.2,66.9
beef tenderloin steak raw,405,29.8,12.0,12.7,1.1,0.0,0.0,32.2,0.0,139.4,0.032,37.7
veal shank cooked,371,12.0,4.0,4.5,1.0,0.0,0.0,61.2,0.0,240.6,0.2,64.0
beef brisket raw,1139,86.5,34.2,38.6,3.0,0.0,0.0,83.6,0.0,308.4,0.3,27.2
pastrami beef,104,4.1,1.9,1.5,0.1,0.3,0.08,15.5,0.0,48.3,0.8,7.1
beef flank steak raw,47,2.3,1.0,1.0,0.038,0.0,0.0,6.0,0.0,19.2,0.054,7.6
beef top sirloin steak cooked,430,25.2,9.9,10.5,1.0,0.0,0.0,47.7,0.0,162.8,0.055,35.4
veal breast raw,943,66.9,26.7,32.5,4.3,0.0,0.0,79.2,0.0,322.1,0.3,31.8
beef rib raw,1433,123.8,51.2,53.0,4.5,0.0,0.0,73.8,0.0,322.1,0.2,36.3
beef jerky,82,5.1,2.2,2.3,0.2,2.2,1.8,6.6,0.4,9.6,0.4,4.0
beef breakfast strips cooked,51,3.9,1.6,1.9,0.2,0.2,0.0,3.5,0.0,13.4,0.3,1.0
pork olive loaf,66,4.6,1.6,2.2,0.5,2.6,0.0,3.3,0.0,10.6,0.3,30.5
beef luncheon meat jellied,31,0.9,0.4,0.4,0.034,0.0,0.0,5.3,0.0,9.5,0.4,2.8
turkey pastrami,38,1.8,0.5,0.6,0.5,0.5,1.0,4.6,0.062,19.4,0.3,3.1
pork salami,41,3.4,1.2,1.6,0.4,0.2,0.0,2.3,0.0,7.9,0.2,1.3
canadian style bacon raw,45,2.0,0.6,0.9,0.2,0.5,0.0,5.9,0.0,14.3,0.3,2.3
honey loaf,85,3.6,1.3,1.7,0.3,2.6,2.6,9.9,0.0,26.2,0.4,30.8
pork beef salami,37,3.1,1.1,1.4,0.5,0.076,0.008,2.1,0.0,10.6,0.2,0.0
beef pork bologna,92,7.4,2.8,3.2,0.3,1.6,1.3,4.6,0.0,18.0,0.3,25.5
pork beef salami cooked,41,3.2,1.1,1.4,0.3,0.3,0.1,2.7,0.0,10.9,0.2,1.8
pork breakfast strips raw,88,8.4,2.9,3.8,1.3,0.2,0.0,2.7,0.0,15.6,0.2,1.8
pickle pimiento loaf,86,6.1,2.0,2.7,1.1,3.2,3.2,4.3,0.6,22.0,0.4,41.4
luxury loaf,39,1.3,0.4,0.7,0.1,1.4,0.0,5.2,0.0,10.1,0.3,10.1
mortadella,47,3.8,1.4,1.7,0.5,0.5,0.0,2.5,0.0,8.4,0.2,2.7
pork bologna,69,5.6,1.9,2.7,0.6,0.2,0.0,4.3,0.0,16.5,0.3,3.1
turkey salami cooked,9,0.5,0.1,0.2,0.1,0.081,0.063,1.0,0.054,3.8,0.023,2.0
pepperoni beef,10,0.9,0.3,0.3,0.053,0.0,0.0,0.5,0.0,2.1,0.09,0.4
peppered loaf,42,1.8,0.6,0.9,0.1,1.3,1.3,4.9,0.0,13.1,0.2,15.4
luncheon meat beef,10,0.3,0.1,0.1,0.013,0.0,0.0,1.8,0.0,3.2,0.1,0.9
lebanon bologna,98,6.0,1.6,2.5,0.1,0.3,0.0,10.8,0.0,31.4,0.8,11.4
chicken pork bologna,94,8.6,2.8,3.7,1.2,1.2,0.0,2.9,0.0,24.4,0.3,54.9
turkey roll,40,1.9,0.6,0.6,0.5,0.6,0.0,4.9,0.0,14.9,0.1,8.6
beef salami cooked,68,5.8,2.6,2.8,0.3,0.5,0.4,3.3,0.0,18.5,0.3,1.6
yachtwurst cooked,150,12.7,4.4,0.0,0.0,0.8,0.0,8.3,0.0,35.8,0.5,10.6
italian salami,43,3.7,1.3,1.8,0.4,0.1,0.1,2.2,0.0,8.0,0.2,1.0
turkey ham,38,1.6,0.1,0.2,0.3,0.3,0.1,5.5,0.0,18.8,0.3,1.4
turkey bologna,59,4.5,1.2,1.9,1.1,1.3,0.8,3.2,0.1,21.0,0.3,34.4
sliced turkey breast,17,0.6,0.1,0.2,0.2,0.4,0.1,2.4,0.0,7.8,0.1,0.0
luncheon meat pork beef,99,9.0,3.2,4.2,1.0,0.7,0.0,3.5,0.0,15.4,0.4,2.5
beef bologna,90,7.8,3.1,3.7,0.4,1.3,0.6,3.3,0.0,17.1,0.3,0.053
turkey bacon cooked,313,22.9,6.8,8.9,5.6,2.5,0.0,24.3,0.0,80.4,1.9,7.4
ground emu cooked,178,5.1,1.4,2.1,0.7,0.0,0.0,31.0,0.0,94.8,0.025,0.044
ostrich leg raw,94,1.5,0.5,0.5,0.3,0.0,0.0,19.0,0.0,56.1,0.067,4.3
ostrich strip raw,108,2.4,0.8,1.0,0.5,0.0,0.0,20.1,0.0,62.1,0.086,4.3
emu fillet cooked,607,9.1,2.3,3.6,1.3,0.0,0.0,123.2,0.0,323.1,0.2,23.6
ostrich tenderloin raw,105,2.7,1.0,1.0,0.6,0.0,0.0,18.8,0.0,68.0,0.005,5.1
emu drums cooked,649,8.4,2.7,3.6,1.7,0.0,0.0,134.7,0.0,378.6,0.5,25.0
green turtle raw,25,0.1,0.015,0.093,0.074,0.0,0.0,5.6,0.0,14.2,0.099,33.4
ground bison cooked,448,21.6,8.7,8.2,1.0,0.0,0.0,63.6,0.0,177.5,0.2,35.0
goat meat raw,494,10.5,3.2,4.7,0.8,0.0,0.0,93.4,0.0,258.6,0.4,59.0
ground emu raw,157,4.7,1.2,1.9,0.7,0.0,0.0,26.6,0.0,80.7,0.062,8.2
ground ostrich raw,180,9.5,2.4,2.9,1.0,0.0,0.0,22.0,0.0,77.4,0.021,7.6
ostrich tip cooked,123,2.2,0.9,0.8,0.4,0.0,0.0,24.2,0.0,72.3,0.086,5.1
caribou cooked,210,6.4,2.5,2.0,1.0,0.0,0.0,38.0,0.0,141.2,0.004,6.6
ground ostrich cooked,163,6.6,1.7,2.0,0.7,0.0,0.0,24.3,0.0,77.2,0.099,0.0
ostrich leg cooked,120,1.6,0.6,0.6,0.3,0.0,0.0,24.7,0.0,62.1,0.016,5.1
ostrich top loin cooked,132,3.3,1.1,1.1,0.3,0.0,0.0,23.9,0.0,79.1,0.029,0.046
ostrich strip cooked,139,3.6,1.5,1.5,0.6,0.0,0.0,25.0,0.0,82.5,0.034,4.3
ostrich tip raw,97,2.0,0.7,0.7,0.4,0.0,0.0,18.6,0.0,61.2,0.041,4.3
ostrich round raw,99,2.0,0.7,0.7,0.4,0.0,0.0,18.7,0.0,60.4,0.074,4.3
ground bison raw,124,6.1,2.5,2.3,0.3,0.099,0.0,17.2,0.0,46.8,0.042,9.4
ostrich fan raw,99,2.3,0.8,0.8,0.4,0.0,0.0,18.5,0.0,62.1,0.04,5.1
ostrich top loin raw,101,2.5,1.0,0.9,0.5,0.0,0.0,18.4,0.0,63.8,0.073,5.1
veal brain cooked,461,32.6,7.4,5.9,5.1,0.0,0.0,38.9,0.0,10509.0,0.5,54.2
veal tongue cooked,515,25.8,11.1,11.8,1.0,0.0,0.0,65.9,0.0,606.9,0.2,23.0
beef heart cooked,47,1.3,0.4,0.3,0.3,0.057,0.0,8.1,0.0,60.0,0.024,0.038
turkey liver cooked,100,4.3,1.2,0.6,1.1,0.0,0.0,14.3,0.0,343.4,0.083,10.1
veal thymus cooked,35,0.9,0.3,0.3,0.066,0.0,0.0,6.4,0.0,99.1,0.036,1.1
beef brain cooked,688,55.6,13.1,14.0,8.1,0.0,0.0,44.1,0.0,7002.5,0.6,31.6
beef pancreas cooked,602,38.2,13.1,13.2,7.1,0.0,0.0,60.2,0.0,581.6,0.1,35.5
beef tripe cooked,80,3.4,1.2,1.4,0.2,1.7,0.0,10.0,0.0,133.5,0.045,68.9
chicken gizzard cooked,223,3.9,1.0,0.8,0.5,0.0,0.0,44.1,0.0,536.5,0.069,24.7
pork pancreas cooked,537,26.5,9.1,9.2,5.0,0.0,0.0,69.8,0.0,771.8,0.1,39.2
beef tongue cooked,80,6.3,2.3,2.9,0.2,0.0,0.0,5.5,0.0,37.4,0.029,1.4
lamb heart cooked,353,15.1,6.0,4.2,1.5,3.7,0.0,47.7,0.0,475.6,0.1,26.7
beef spleen cooked,447,12.9,4.3,3.4,1.0,0.0,0.0,77.3,0.0,1068.8,0.2,37.0
veal kidneys cooked,300,10.4,3.2,2.3,2.1,0.0,0.0,48.4,0.0,1455.4,0.2,53.4
chicken heart cooked,268,11.5,3.3,2.9,3.3,0.1,0.0,38.3,0.0,350.9,0.081,27.6
lamb tongue cooked,701,51.7,20.0,25.5,3.2,0.0,0.0,55.0,0.0,482.0,0.2,25.5
veal heart cooked,368,13.4,3.6,2.8,3.5,0.3,0.0,57.7,0.0,348.5,0.1,15.8
chicken liver cooked,76,2.8,0.9,0.6,0.6,0.5,0.0,11.3,0.0,248.2,0.079,0.0
lamb pancreas cooked,541,34.9,15.8,12.6,1.7,0.0,0.0,52.7,0.0,924.0,0.1,27.7
veal spleen cooked,445,10.0,3.3,2.7,0.7,0.0,0.0,83.1,0.0,1542.2,0.2,24.2
lamb liver cooked,739,29.6,11.5,6.2,4.4,8.5,0.0,102.7,0.0,1683.4,0.2,26.9
turkey gizzard cooked,70,2.1,0.5,0.4,0.3,0.0,0.0,11.9,0.0,203.4,0.031,7.7
lamp spleen cooked,460,14.1,4.7,3.7,1.0,0.0,0.0,78.1,0.0,1135.8,0.2,38.4
turkey heart cooked,35,1.5,0.4,0.3,0.4,0.0,0.0,5.0,0.0,71.8,0.046,4.2
beef liver cooked,130,3.6,1.2,0.4,0.4,3.5,0.0,19.8,0.0,269.3,0.068,0.07
lamb lungs cooked,431,11.8,4.0,3.0,1.6,0.0,0.0,75.7,0.0,1082.0,0.3,45.7
pork brain cooked,527,36.3,8.2,6.6,5.6,0.0,0.0,46.4,0.0,9748.6,0.3,34.4
goose liver,125,4.0,1.5,0.8,0.2,5.9,0.0,15.4,0.0,484.1,0.1,40.4
pork kidneys cooked,211,6.6,2.1,2.2,0.5,0.0,0.0,35.6,0.0,672.0,0.1,18.2
lamb brain cooked,503,35.3,9.0,6.4,3.6,0.0,0.0,43.5,0.0,7089.2,0.5,41.6
pork heart cooked,215,7.3,1.9,1.7,1.9,0.6,0.0,34.2,0.0,320.5,0.053,10.2
lamb kidneys cooked,349,9.2,3.1,2.0,1.7,2.5,0.0,60.3,0.0,1440.8,0.4,45.9
beef lungs cooked,364,11.2,3.8,2.9,1.5,0.0,0.0,61.8,0.0,839.3,0.3,33.3
veal pancreas cooked,614,35.0,12.0,12.1,6.5,0.0,0.0,69.8,0.0,0.0,0.2,43.2
pork liver cooked,584,15.6,5.0,2.2,3.7,13.3,0.0,92.1,0.0,1256.7,0.2,35.4
beef kidneys cooked,45,1.3,0.3,0.2,0.2,0.0,0.0,7.7,0.0,202.6,0.029,5.4
turkey giblets cooked,164,6.3,1.6,1.0,1.5,0.0,0.0,25.1,0.0,495.0,0.1,0.014
duck liver raw,60,2.0,0.6,0.3,0.3,1.6,0.0,8.2,0.0,226.6,0.089,4.8
veal liver cooked,154,5.0,1.6,0.9,0.9,3.0,0.0,22.7,0.0,408.8,0.046,0.043
pork lungs cooked,297,9.3,3.3,2.1,1.1,0.0,0.0,49.8,0.0,1161.0,0.2,24.0
veal lungs cooked,312,7.9,2.7,2.0,1.1,0.0,0.0,56.2,0.0,789.0,0.2,21.0
beef thymus cooked,1215,95.2,32.8,32.9,17.8,0.0,0.0,83.2,0.0,1120.1,0.4,38.1
ham,46,2.5,0.1,1.2,0.2,1.0,0.3,4.6,0.4,16.0,0.2,6.7
pork meat cooked,283,14.1,4.4,6.8,2.1,0.0,0.0,14.1,0.0,112.6,0.7,10.7
bacon roasted,43,3.3,1.1,1.5,0.4,0.1,0.0,3.0,0.0,8.8,0.034,0.097
pork top loin roasts raw,3644,182.8,35.1,40.8,14.3,0.0,0.0,468.4,0.0,1404.8,1.0,153.7
pork blade roll raw,76,6.2,2.2,2.8,0.7,0.0,0.0,4.7,0.0,15.0,0.4,2.0
pork backribs raw,2399,174.9,61.9,73.5,28.7,0.0,0.0,204.2,0.0,739.0,0.9,332.0
pork spareribs cooked,703,53.6,19.7,23.9,4.8,0.0,0.0,51.4,0.0,214.2,0.2,83.2
pork stomach cooked,44,2.1,0.8,0.6,0.2,0.029,0.0,6.1,0.0,89.4,0.035,4.2
honey smoked ham cooked,67,1.3,0.6,0.9,0.2,4.0,0.0,9.9,0.0,12.1,0.5,3.3
boston butt steak raw,844,56.1,19.7,23.6,7.2,0.0,0.0,79.0,0.0,281.2,0.3,72.6
pork sirloin chops cooked,140,4.5,1.5,1.8,0.8,0.0,0.0,23.3,0.0,65.6,0.001,0.0
pork country style ribs raw,242,15.1,3.0,3.5,1.2,0.0,0.0,24.8,0.0,94.7,0.061,28.2
ham patties,205,18.3,6.6,8.6,2.0,1.1,0.0,8.3,0.0,45.5,0.7,5.2
pork feet cooked,67,4.5,1.2,2.3,0.4,0.0,0.0,6.2,0.0,30.3,0.046,0.0
ground pork cooked,930,65.0,24.2,29.0,5.9,0.0,0.0,80.4,0.0,294.2,0.2,68.9
pork centre loin chops cooked,328,17.4,5.5,6.6,2.1,0.0,0.0,40.2,0.0,131.9,0.065,0.0
pork leg cap steak cooked,307,8.6,2.6,3.7,1.1,0.0,0.0,53.5,0.0,157.1,0.1,13.6
pork blade chops raw,376,15.4,5.2,6.1,2.1,0.0,0.0,55.8,0.0,155.2,0.2,78.9
pork tenderloin raw,606,17.8,6.0,6.8,2.8,0.0,0.0,104.3,0.0,328.3,0.3,30.3
pork sirloin chops raw,1090,23.3,8.2,9.9,3.7,0.0,0.0,205.5,0.0,567.6,0.6,81.1
pork leg cap steak raw,284,7.8,2.7,3.9,1.2,0.0,0.0,50.0,0.0,145.5,0.2,16.2
pork carcass raw,1706,159.1,56.4,72.3,17.2,0.0,0.0,63.1,0.0,335.7,0.2,86.2
pork splean cooked,446,9.6,3.2,2.6,0.7,0.0,0.0,84.3,0.0,1507.0,0.3,38.9
chopped ham,50,2.9,1.0,1.4,0.4,1.2,0.0,4.6,0.0,16.5,0.3,2.0
pork centre loin chops raw,338,18.0,6.0,7.1,2.4,0.0,0.0,41.2,0.0,137.3,0.1,37.8
pork blade chops cooked,265,14.6,4.3,5.1,1.9,1.1,0.0,32.4,0.0,100.9,0.072,10.5
boston butt steak cooked,494,32.7,12.2,14.8,3.8,0.0,0.0,46.4,0.0,181.3,0.1,48.1
pork meat raw,179,18.6,6.2,7.9,3.7,0.0,0.0,2.6,0.0,20.4,0.021,4.0
pork top loin chops raw,287,12.8,4.5,5.5,1.6,0.0,0.0,39.9,0.0,124.0,0.099,13.0
pork blade steak braised,694,44.7,16.6,20.1,5.3,0.087,0.0,68.2,0.0,256.1,0.4,0.0
pork boston steaks cooked,438,28.1,10.1,12.5,2.5,0.0,0.0,43.2,0.0,160.6,0.1,60.8
bacon cooked,43,3.1,1.1,1.4,0.5,0.068,0.0,3.5,0.0,10.1,0.2,0.0
pickled pork hocks,48,3.0,0.9,1.5,0.3,0.0,0.0,5.4,0.0,25.2,0.3,5.4
pork boston roast cooked,705,49.4,18.3,21.7,4.6,0.0,0.0,60.5,0.0,225.3,0.2,73.4
canadian style bacon grilled,43,2.0,0.7,0.9,0.2,0.3,0.0,5.7,0.0,13.6,0.4,2.4
ham steak,70,2.4,0.8,1.1,0.3,0.0,0.0,11.1,0.0,25.7,0.7,2.3
pork backfat,3683,402.3,146.1,190.3,46.9,0.0,0.0,13.2,0.0,258.6,0.064,9.1
bacon baked,44,3.5,1.1,1.5,0.4,0.1,0.0,2.9,0.0,8.7,0.2,0.047
pork arm picnic raw,5298,343.4,113.6,147.3,67.9,0.0,0.0,513.6,0.0,1729.4,2.3,329.4
salt pork raw,212,22.8,8.3,10.7,2.7,0.0,0.0,1.4,0.0,24.3,0.8,1.7
pork arm picnic cooked,5292,322.7,109.3,139.0,62.7,0.0,0.0,560.3,0.0,1936.7,2.2,360.3
pork top loin chops cooked,270,11.2,4.3,4.9,1.7,0.0,0.0,39.4,0.0,97.2,0.064,0.0
ground pork raw,329,26.5,9.8,11.8,2.4,0.0,0.0,21.1,0.0,90.0,0.033,17.5
pork shoulder raw,1070,81.6,28.3,36.3,8.7,0.0,0.0,77.9,0.0,322.1,0.3,68.0
pork chitterlings cooked,66,5.8,2.7,2.0,0.3,0.0,0.0,3.5,0.0,78.4,0.078,0.0
pork breakfast strips cooked,52,4.1,1.4,1.9,0.6,0.1,0.0,3.3,0.0,11.9,0.2,1.6
pork blade roll roasted,1079,88.3,31.5,41.5,9.4,1.4,0.0,65.0,0.0,251.9,3.7,26.3
pork tail cooked,1089,98.5,34.2,46.4,10.8,0.0,0.0,46.8,0.0,354.8,0.093,38.5
pork centre rib roasts raw,275,9.7,3.3,4.0,1.1,0.0,0.0,44.0,0.0,113.1,0.1,48.5
pork centre rib roasts roasted,1942,114.9,42.6,48.4,19.4,0.0,0.0,211.3,0.0,610.7,0.7,0.0
minced ham,55,4.3,1.5,2.0,0.5,0.4,0.0,3.4,0.0,14.7,0.3,2.1
ham roasted,316,21.3,7.1,9.9,2.5,0.6,0.0,28.7,0.0,86.8,1.3,11.2
pork loin raw,232,14.7,5.1,6.6,1.6,0.0,0.0,23.1,0.0,73.7,0.003,21.1
pork backribs roasted,2564,188.9,68.5,81.6,31.0,0.0,0.0,202.0,0.0,737.5,0.8,0.0
pork belly raw,2350,240.5,87.7,112.0,25.6,0.0,0.0,42.4,0.0,326.6,0.1,22.7
ham raw,266,18.2,6.0,8.7,2.1,0.046,0.0,23.8,0.0,54.6,1.5,8.4
ham extra lean,45,2.3,0.8,1.1,0.3,0.6,0.0,5.1,0.0,14.8,0.4,2.0
